producto,fecha,texto_limpio_reseña,calificacion,dominant_topic,category_aspect
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,hace 5 meses,buen calidad,5 de 5 estrellas.,4,Diseño
HUAWEI Smartphone nova Y90 Blanco 6GB128GB Dual Sim,hace 10 meses,llego falla funcionar correctamente,2 de 5 estrellas.,0,Calidad
Celular Apple Iphone 13 128gb,hace 11 meses,todo desepcion producto llegar falla fabricar dÃ­a uso recalentar demasiado normal debajo botÃ³n subir bajar volumen cargar Ã©l reproducir video desear devoluciÃ³n dinero cancelar cobro encima experto presencial obligar derivar dÃ­a hÃ¡bil engorroso proceso pÃ©sima experiencia afectar sistema pago seÃ±or falabella querer soluciÃ³n,1 de 5 estrellas.,8,Accesorios
Celular Apple Iphone 13 128gb,hace 6 meses,especificar detalle incluso pedir comprar case sol feliz compra recomeir esperar cyber wow ahÃ­ barato,5 de 5 estrellas.,0,Calidad
Celular Apple Iphone 13 128gb,hace 5 horas,encanto,5 de 5 estrellas.,5,Pantalla
Celular Apple Iphone 13 128gb,hace 17 dÃ­as,celular nuevo garantÃ­a aÃ±o calienta demasiado iphonar asÃ­ parte bateer duro,3 de 5 estrellas.,1,Cámara
Celular Apple Iphone 13 128gb,hace 2 aÃ±os,excelente producto totalmente contento compra,5 de 5 estrellas.,0,Calidad
Celular Apple Iphone 13 128gb,hace 15 dÃ­as,producto llegar sellado tal esperar momento funcionar perfecciÃ³n recomeir saludo,5 de 5 estrellas.,0,Calidad
Celular Apple Iphone 13 128gb,hace un aÃ±o,ofrecer pagar cuota cmr hora realizar pago monto distinto elevado,1 de 5 estrellas.,7,Precio
Celular Apple Iphone 13 128gb,hace 6 meses,tal cuÃ¡l foto buen calidad super graciasssss,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace un aÃ±o,equipo corresponder modelo pedir capacidad tamaÃ±o perfecto color quedar enamorado color buen calidad entrega fecha indicado equipo incluso llegar entrega estimado,5 de 5 estrellas.,6,Software
Celular Apple Iphone 13 128gb,hace 6 meses,venir sellado equipo nuevo dudar baterÃ­a buen,5 de 5 estrellas.,7,Precio
Celular Apple Iphone 13 128gb,hace 11 meses,producto buen calidad diseÃ±o clasico ultimo salio mano steve jobs tenia mas expectativa telefono camarar buen espectacular igual resto bueno iphonar ayudo marcar ser suficiente,4 de 5 estrellas.,5,Pantalla
Celular Apple Iphone 13 128gb,hace 10 meses,buen baterÃ­a tamaÃ±o tal foto,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace 11 meses,buen producto bastante funcional buen calidad,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace 11 meses,buen celular siempre iphone dar talla,5 de 5 estrellas.,1,Cámara
Celular Apple Iphone 13 128gb,hace 7 meses,tal descripciÃ³n,5 de 5 estrellas.,6,Software
Celular Apple Iphone 13 128gb,hace 11 meses,buen calidad,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace un aÃ±o,momento caja venir sucio plÃ¡stico traer encima esperar tener problema equipo adelante,5 de 5 estrellas.,8,Accesorios
Celular Apple Iphone 13 128gb,hace 3 meses,funcionar correctamente alivio tener proveedor autorizado apple saga,5 de 5 estrellas.,8,Accesorios
Celular Apple Iphone 13 128gb,hace 5 meses,identico ala foto buen calidad,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace un aÃ±o,comprar miedo ser valor alto sago confianza formar comp manejar pago delivery llego tiempo indicado producto cumplir expectativa,5 de 5 estrellas.,0,Calidad
Celular Apple Iphone 13 128gb,hace 6 meses,igual foto buen calidad tamaÃ±o perfecto,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace 7 meses,compra tiempo determinado garantÃ­a,5 de 5 estrellas.,1,Cámara
Celular Apple Iphone 13 128gb,hace un aÃ±o,igual foto,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace 11 meses,excelente celular,5 de 5 estrellas.,0,Calidad
Celular Apple Iphone 13 128gb,hace 11 meses,buen calidad,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace 4 meses,Ãºtil comentario,5 de 5 estrellas.,3,Rapidez
Celular Apple Iphone 13 128gb,hace 9 meses,escuche bateer degrada corto plazo garantÃ­a decir producto malo gamer necesario bateer durar adema apple indemnizar usuario menor costo producto final asÃ­ mejor comprir buscar opciÃ³n depender cada arriesga cada hacer dinero desear lleguen engorroso trÃ¡mite devoluciÃ³n mayorÃ­a caso difÃ­cil,1 de 5 estrellas.,8,Accesorios
Celular Apple Iphone 13 128gb,hace 4 meses,recoger tienda Ãºnico inconveniente venir burbupack proteger golpe segundo vez comprar primero vino seguro recogÃ­ tienda,5 de 5 estrellas.,1,Cámara
Celular Apple Iphone 13 128gb,hace 4 meses,buen excelente atenciÃ³n parte grupo falabella,5 de 5 estrellas.,7,Precio
Celular Apple Iphone 13 128gb,hace un aÃ±o,Ãºtil comentario,5 de 5 estrellas.,3,Rapidez
Celular Apple Iphone 13 128gb,hace 8 meses,compre seguridad bloqueo rostro huella contraseÃ±o robado minuto hackeado robar todo informacion meter correo todo app bancos respuesta apple avisar robo boquear equipo podiar hacer solo podiar bloquear trav web contraseÃ±o tambien cambiado guardado nube pagar mensualmente poder recuperar solo dar almacenamiento burlar,1 de 5 estrellas.,5,Pantalla
Celular Apple Iphone 13 128gb,hace 11 meses,equipo tal descripciÃ³n llego buen nota diferenciar duraciÃ³n baterÃ­o comparado iphonar anterior,5 de 5 estrellas.,5,Pantalla
Celular Apple Iphone 13 128gb,hace 5 meses,zoom partir versiÃ³n caso venir case transparente regalo ademÃ¡s cuota interÃ©s,5 de 5 estrellas.,6,Software
Celular Apple Iphone 13 128gb,hace 2 meses,rendimiento increÃ­ble cÃ¡mara excelente baterÃ­a duro dÃ­a diseÃ±o elegante resistente,5 de 5 estrellas.,6,Software
Celular Apple Iphone 13 128gb,hace 8 meses,producto bastante completo cumple ofrecido excelente modelo entrar ecosistema principio poder ser complicar bastante fÃ¡cil intuitivo adaptar Ã©l bastar uso normal personal ocupo trabajo foto juegos bateer momento mas mes uso duro dÃ­a mas mas decir cÃ¡mara genial monto personalizaciÃ³n,5 de 5 estrellas.,8,Accesorios
Celular Apple Iphone 13 128gb,hace 5 meses,tamaÃ±o foto desconcertar caja ambos vengar manchada,4 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace 6 meses,igual fotografÃ­a color lindo excelente procesador,5 de 5 estrellas.,8,Accesorios
Celular Apple Iphone 13 128gb,hace 5 meses,excelente calidad poder esperar iphone,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace 6 meses,bien llegar buen buen calidad foto,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace 9 meses,igual foto corresponder calidad esperado,5 de 5 estrellas.,4,Diseño
Celular Apple Iphone 13 128gb,hace 5 meses,pequeÃ±o pensar,4 de 5 estrellas.,2,Batería
Celular Apple Iphone 13 128gb,hace 11 meses,tomar buena foto,4 de 5 estrellas.,4,Diseño
